"name","parent_name","country"
"ONISIFOROU WAREHOUSE PRICES","ONISIFOROU WAREHOUSE PRICES","Cyprus"
"GIBAREIO","GIBAREIO","Cyprus"
"MELESOFT","MELESOFT","Cyprus"
"GAMERS BOULEVARD","GAMERS BOULEVARD","Cyprus"
"MEGALAND","MEGALAND","Cyprus"
"WWW.MICROMANIA.COM.CY","WWW.MICROMANIA.COM.CY","Cyprus"
"EXA Solutions Ltd","EXA Solutions Ltd","Cyprus"
"A.STEPHANIS & CO.LTD","A.STEPHANIS","Cyprus"
"GIBAREIO LTD","GIBAREIO","Cyprus"
"ITC PUBLICWORLD LTD","ITC PUBLIC","Cyprus"
"ORLAYA TRADING LTD","ORLAYA- BROADCAST STORES","Cyprus"
"SUNDRY SALES","SUNDRY SALES","Cyprus"
"TORORIN TRADING LTD","TORORIN TRADING LTD","Cyprus"
"Komel Kft.","Komel Kft.","Hungary"
"X-MultimediaShop Kft.","X-MultimediaShop Kft.","Hungary"
"FPO Hungary Kft.","FPO Hungary Kft.","Hungary"
"Gauss Számítástechnikai Kft.","Gauss Számítástechnikai Kft.","Hungary"
"Sigma Informatika Kft.","Sigma Informatika Kft.","Hungary"
"FITT GAME Kft.","FITT GAME Kft.","Hungary"
"T R COMPUTERIZER LTD.","T R COMPUTERIZER LTD.","Cyprus"
"576Kbyte","576Kbyte","Hungary"
"UNISOFT CHAETIDES TRADING LIMITED","UNISOFT CHAETIDES TRADING LIMITED","Cyprus"
"Gamertech Kft.","Gamertech Kft.","Hungary"
"Grecht KFT","Grecht KFT","Hungary"
"Comgame 576 Kft.","Comgame 576 Kft.","Hungary"
"Media Planet Kft.","Media Planet Kft.","Hungary"
"A4 Team Kft.","A4 Team Kft.","Hungary"
"BOLTPARTNER Kft.","BOLTPARTNER Kft.","Hungary"
"Pcland Online Kft.","Pcland Online Kft.","Hungary"
"PCX Kft","PCX Kft","Hungary"
"Somogy Informatika Kft.","Somogy Informatika Kft.","Hungary"
"iPon Computer Kft..","Ipon Computer Kft","Hungary"
"Shopline Nyrt","Shopline Nyrt","Hungary"
"Dotcomp Kft.","Dot-Compker kft","Hungary"
"Libri-Shopline Nyrt.","Libri-Shopline Nyrt.","Hungary"
"Libri-Shopline Nyrt","Libri-Shopline Nyrt","Hungary"
